"ICTVnames","NCBInames","ExemplarOrAdditional","GenBankIDs","RefSeqIDs"
"Mamastrovirus 17","mamastrovirus 17","E","FJ571074","NC_038368"
"Mamastrovirus 18","mamastrovirus 18","E","EU847155","NC_043102"
"Mamastrovirus 19","mamastrovirus 19","E","FJ571065","NC_043103"
"Infectious pancreatic necrosis virus","infectious pancreatic necrosis virus","E","SegA: M18049; SegB: M58756","SegA: NC_001915; SegB: NC_001916"
"Tellina virus","Tellina virus 2","E","SegA: AF342731","zero"
"Yellowtail ascites virus","yellowtail ascites virus","E","SegA: AB006783; SegB: AY129662","SegA: NC_004168; SegB: NC_004176"
"Infectious bursal disease virus","infectious bursal disease virus","E","SegA: X84034; SegB: X84035","zero"
"Blotched snakehead virus","blotched snakehead virus","E","SegA: AJ459382; SegB: AJ459383","SegA: NC_005982; SegB: NC_005983"
"Lates calcarifer birnavirus","Lates calcarifer birnavirus","E","SegA: MK103419; SegB: MK103420","zero"
"Drosophina B birnavirus","Drosophila B birnavirus","E","SegA: GQ342962; SegB: GQ342963","zero"
"Drosophila X virus","Drosophila X virus","E","SegA: U60650; SegB: AF196645","SegA: NC_004177; SegB: NC_004169"
"Mosquito X virus","mosquito X virus","E","SegA: JX403941; SegB: JX403942","zero"
"Rotifer birnavirus","rotifer birnavirus","E","SegA: FM995220; SegB: FM995221","zero"
"Tellina virus 1","Tellina virus 1","E","SegA: AJ920335; SegB: AJ920336","SegA: NC_038869; SegB: NC_038870"
"Euprosterna elaeasa virus","Euprosterna elaeasa virus","E","AF461742","NC_003412"
"Thosea asigna virus","Thosea asigna virus","E","AF062037; AF282930","NC_043231; NC_043232"
"Botrytis porri botybirnavirus 1","Botrytis porri botybirnavirus 1","E","RNA1: JF716350; RNA2: JF716351","RNA1: NC_017990; RNA2: NC_017991"
"Duck hepatitis B virus","duck hepatitis B virus","E","X60213","NC_001344"
"Heron hepatitis B virus","heron hepatitis B virus","E","M22056","NC_001486"
"Parrot hepatitis B virus","parrot hepatitis B virus","E","JN565944","NC_016561"
"Tibetan frog hepatitis B virus","Tibetan frog hepatitis B virus","E","KX058435","NC_030446"
"Bluegill hepatitis B virus","bluegill hepatitis B virus","E","KX058433","NC_030445"
"Capuchin monkey hepatitis B virus","capuchin monkey hepatitis B virus","E","KY703886","NC_043528"
"Chinese shrew hepatitis B virus","Asian grey shrew hepatitis B virus","E","MH484438","zero"
"Domestic cat hepatitis B virus","domestic cat hepadnavirus","E","MH307930","NC_040719"
"Ground squirrel hepatitis virus","ground squirrel hepatitis virus","E","K02715","NC_001484"
"Hepatitis B virus","hepatitis B virus genotype D","E","V01460","NC_003977"
"Long-fingered bat hepatitis B virus","long-fingered bat hepatitis B virus","E","JX941466","NC_020881"
"Pomona bat hepatitis B virus","pomona bat hepatitis B virus","E","KF939649","NC_038503"
"Roundleaf bat hepatitis B virus","roundleaf bat hepatitis B virus","E","KC790376","NC_024443"
"Tai Forest hepatitis B virus","Taï Forest hepatitis B virus","E","MK620908","zero"
"Tent-making bat hepatitis B virus","tent-making bat hepatitis B virus","E","KC790381","NC_024445"
"Woodchuck hepatitis virus","woodchuck hepatitis virus","E","M18752","NC_004107"
"Woolly monkey hepatitis B virus","woolly monkey hepatitis B virus","E","AF046996","NC_028129"
"White sucker hepatitis B virus","white sucker hepatitis B virus","E","KR229754","NC_027922"
"Anopheles gambiae Moose virus","Anopheles gambiae Moose virus","E","AF060859","zero"
"Antheraea semotivirus Tamy","Antheraea mylitta Tamy virus","E","AF530470","zero"
"Ascaris lumbricoides Tas virus","Ascaris lumbricoides Tas virus","E","Z29712","zero"
"Bombyx mori Pao virus","Bombyx mori Pao virus","E","L09635","zero"
"Caenorhabditis elegans Cer13 virus","Caenorhabditis elegans Cer13 virus","E","LK928904 (2253-10260)","zero"
"Drosophila melanogaster Bel virus","Drosophila melanogaster Bel virus","E","U23420","zero"
"Drosophila melanogaster Roo virus","Drosophila melanogaster Roo virus","E","AY180917","zero"
"Drosophila semotivirus Max","Drosophila melanogaster Max virus","E","AJ487856","zero"
"Drosophila simulans Ninja virus","Drosophila simulans Ninja virus","E","D83207","zero"
"Schistosoma semotivirus Sinbad","Schistosoma mansoni Sinbad virus","E","AY506538","zero"
"Takifugu rubripes Suzu virus","Fugu rubripes Suzu virus","E","AF537216","zero"
"Aglaonema bacilliform virus","Aglaonema bacilliform virus","E","MH384837","zero"
"Banana streak GF virus","banana streak GF virus","E","AY493509","NC_007002"
"Banana streak IM virus","banana streak IM virus","E","HQ593112","NC_015507"
"Banana streak MY virus","banana streak MY virus","E","AY805074","NC_006955"
"Banana streak OL virus","banana streak OL virus","E","AJ002234","NC_003381"
"Banana streak UA virus","banana streak UA virus","E","HQ593107","NC_015502"
"Banana streak UI virus","banana streak UI virus","E","HQ593108","NC_015503"
"Banana streak UL virus","banana streak UL virus","E","HQ593109","NC_015504"
"Banana streak UM virus","banana streak UM virus","E","HQ593110","NC_015505"
"Banana streak VN virus","banana streak VN virus","E","AY750155","NC_007003"
"Birch leaf roll-associated virus","birch leaf roll-associated virus","E","MG686419","NC_040635"
"Blackberry virus F","blackberry virus F","E","KJ413252","NC_029303"
"Bougainvillea chlorotic vein banding virus","Bougainvillea chlorotic vein banding virus","E","EU034539","NC_011592"
"Cacao bacilliform Sri Lanka virus","cacao bacilliform Sri Lanka virus","E","MF642736","NC_040809"
"Cacao mild mosaic virus","cacao mild mosaic virus","E","KX276640","NC_033738"
"Cacao swollen shoot CD virus","cacao swollen shoot CD virus","E","JN606110","NC_038378"
"Cacao swollen shoot CE virus","cacao swollen shoot CE virus","E","MF642720","NC_040692"
"Cacao swollen shoot Ghana M virus","cacao swollen shoot Ghana M virus","E","MF642724","NC_043534"
"Cacao swollen shoot Ghana N virus","cacao swollen shoot Ghana N virus","E","MF642725","NC_040622"
"Cacao swollen shoot Ghana Q virus","cacao swollen shoot Ghana Q virus","E","MF642734","NC_040693"
"Cacao swollen shoot Togo A virus","cacao swollen shoot Togo A virus","E","AJ781003","zero"
"Cacao swollen shoot Togo B virus","cacao swollen shoot Togo B virus","E","L14546","NC_001574"
"Cacao yellow vein banding virus","cacao yellow vein banding virus","E","KX276641","NC_033739"
"Camellia lemon glow virus","camellia lemon glow virus","E","MN542417","zero"
"Canna yellow mottle associated virus","Canna yellow mottle associated virus","E","KX066020","NC_030462"
"Canna yellow mottle virus","Canna yellow mottle virus","E","KU168312","NC_038380"
"Citrus yellow mosaic virus","citrus yellow mosaic virus","E","AF347695","NC_003382"
"Codonopsis vein clearing virus","Codonopsis vein clearing virus","E","MK048221","zero"
"Commelina yellow mottle virus","Commelina yellow mottle virus","E","X52938","NC_001343"
"Cycad leaf necrosis virus","cycad leaf necrosis virus","E","EU853709","NC_011097"
"Dioscorea bacilliform AL virus","Dioscorea bacilliform AL virus","E","KX008573","NC_038381"
"Dioscorea bacilliform AL virus 2","Dioscorea bacilliform AL virus 2","E","KY827395","zero"
"Dioscorea bacilliform ES virus","Dioscorea bacilliform ES virus","E","KY827394","zero"
"Dioscorea bacilliform RT virus 1","Dioscorea bacilliform RT virus 1","E","KX008574","NC_038986"
"Dioscorea bacilliform RT virus 2","Dioscorea bacilliform RT virus 2","E","KX008577","NC_038987"
"Dioscorea bacilliform RT virus 3","Dioscorea bacilliform RT virus 3","E","MF476845","zero"
"Dioscorea bacilliform SN virus","Dioscorea bacilliform SN virus","E","DQ822073","NC_009010"
"Dioscorea bacilliform TR virus","Dioscorea bacilliform TR virus","E","KX430257","NC_038995"
"Dracaena mottle virus","Dracaena mottle virus","E","DQ473478","NC_008034"
"Epiphyllum mottle-associated virus","Epiphyllum mottle-associated virus","E","MH396440","zero"
"Fig badnavirus 1","fig badnavirus 1","E","JF411989","NC_017830"
"Gooseberry vein banding associated virus","gooseberry vein banding associated virus","E","JQ316114","NC_018105"
"Grapevine badnavirus 1","grapevine badnavirus 1","E","MF781082","zero"
"Grapevine Roditis leaf discoloration-associated virus","grapevine roditis leaf discoloration-associated virus","E","HG940503","NC_027131"
"Grapevine vein clearing virus","grapevine vein clearing virus","E","JF301669","NC_015784"
"Green Sichuan pepper vein clearing-associated virus","green Sichuan pepper vein clearing-associated virus","E","MK371353","zero"
"Ivy ringspot-associated virus","ivy ringspot-associated virus","E","MN850490","zero"
"Jujube mosaic-associated virus","jujube mosaic-associated virus","E","KX852476","NC_035472"
"Kalanchoe top-spotting virus","Kalanchoë top-spotting virus","E","AY180137","NC_004540"
"Mulberry badnavirus 1","mulberry badnavirus 1","E","LN651258","NC_026020"
"Pagoda yellow mosaic associated virus","pagoda yellow mosaic associated virus","E","KJ013302","NC_024301"
"Pineapple bacilliform CO virus","pineapple bacilliform CO virus","E","GU121676","NC_014648"
"Pineapple bacilliform ER virus","pineapple bacilliform er virus","E","EU377672","zero"
"Piper yellow mottle virus","Piper yellow mottle virus","E","KC808712","NC_022365"
"Polyscias mosaic virus","Polyscias mosaic virus","E","MH475918","zero"
"Rubus yellow net virus","Rubus yellow net virus","E","KM078034","NC_026238"
"Schefflera ringspot virus","Schefflera ringspot virus","E","MH475920","zero"
"Spiraea yellow leafspot virus","Spiraea yellow leafspot virus","E","AF299074","NC_043104"
"Sugarcane bacilliform Guadeloupe A virus","sugarcane bacilliform guadeloupe A virus","E","FJ824813","NC_038382"
"Sugarcane bacilliform Guadeloupe D virus","sugarcane bacilliform guadeloupe D virus","E","FJ439817","NC_013455"
"Sugarcane bacilliform IM virus","sugarcane bacilliform IM virus","E","AJ277091","NC_003031"
"Sugarcane bacilliform MO virus","sugarcane bacilliform MO virus","E","M89923","NC_008017"
"Sweet potato pakakuy virus","sweet potato pakakuy virus","E","FJ560943","NC_015655"
"Taro bacilliform CH virus","taro bacilliform CH virus","E","KP710178","NC_026819"
"Taro bacilliform virus","taro bacilliform virus","E","AF357836","NC_004450"
"Wisteria badnavirus 1","Wisteria badnavirus 1","E","KX168422","NC_034252"
"Yacon necrotic mottle virus","yacon necrotic mottle virus","E","KM229702","NC_026472"
"Angelica bushy stunt virus","Angelica bushy stunt virus","E","KU508800","NC_043523"
"Atractylodes mild mottle virus","Atractylodes mild mottle virus","E","KR080327","NC_027924"
"Carnation etched ring virus","carnation etched ring virus","E","X04658","NC_003498"
"Cauliflower mosaic virus","cauliflower mosaic virus","E","V00141","NC_001497"
"Dahlia mosaic virus","Dahlia mosaic virus","E","JX272320","NC_018616"
"Figwort mosaic virus","figwort mosaic virus","E","X06166","NC_003554"
"Horseradish latent virus","horseradish latent virus","E","JX429923","NC_018858"
"Lamium leaf distortion virus","Lamium leaf distortion virus","E","EU554423","NC_010737"
"Mirabilis mosaic virus","Mirabilis mosaic virus","E","AF454635","NC_004036"
"Soybean Putnam virus","soybean putnam virus","E","JQ926983","NC_018505"
"Strawberry vein banding virus","strawberry vein banding virus","E","X97304","NC_001725"
"Thistle mottle virus","thistle mottle virus","E","","zero"
"Cassava vein mosaic virus","cassava vein mosaic virus","E","U59751","NC_001648"
"Epiphyllum virus 4","Epiphyllum virus 4","E","MN153807","zero"
"Sweet potato collusive virus","sweet potato collusive virus","E","HQ694978","NC_015328"
"Dioscorea nummularia associated virus","Dioscorea nummularia-associated virus","E","MG944237","NC_040712"
"Petunia vein clearing virus","Petunia vein clearing virus","E","U95208","NC_001839"
"Rose yellow vein virus","rose yellow vein virus","E","JX028536","NC_020999"
"Rudbeckia flower distortion virus","Rudbeckia flower distortion virus","E","FJ493469","NC_011920"
"Sweet potato vein clearing virus","sweet potato vein clearing virus","E","HQ694979","NC_015228"
"Tobacco vein clearing virus","tobacco vein clearing virus","E","AF190123","NC_003378"
"Blueberry red ringspot virus","blueberry red ringspot virus","E","AF404509","NC_003138"
"Cestrum yellow leaf curling virus","Cestrum yellow leaf curling virus","E","AF364175","NC_004324"
"Peanut chlorotic streak virus","peanut chlorotic streak virus","E","U13988","NC_001634"
"Soybean chlorotic mottle virus","soybean chlorotic mottle virus","E","X15828","NC_001739"
"Rice tungro bacilliform virus","rice tungro bacilliform virus","E","X57924","NC_001914"
"Blueberry fruit drop associated virus","Blueberry fruit drop-associated virus","E","KT148886","NC_028462"
"Ceratitis capitata Yoyo virus","Ceratitis capitata Yoyo virus","E","U60529","zero"
"Drosophila ananassae Tom virus","Drosophila ananassae Tom virus","E","Z24451","zero"
"Drosophila melanogaster 17-6 virus","Drosophila melanogaster 17.6 virus","E","X01472","zero"
"Drosophila melanogaster 297 virus","Drosophila melanogaster 297 virus","E","X03431","zero"
"Drosophila melanogaster Gypsy virus","Drosophila melanogaster Gypsy virus","E","M12927","zero"
"Drosophila melanogaster Idefix virus","Drosophila melanogaster Idefix virus","E","AJ009736","zero"
"Drosophila melanogaster Tirant virus","Drosophila melanogaster Tirant virus","E","X93507","zero"
"Drosophila melanogaster Zam virus","Drosophila melanogaster Zam virus","E","AJ000387","zero"
"Drosophila virilis Tv1 virus","Drosophila virilis Tv1 virus","E","AF056940","zero"
"Trichoplusia ni TED virus","Trichoplusia ni TED virus","E","M32662","NC_038512"
"Arabidopsis thaliana Athila virus","Arabidopsis thaliana Athila virus","E","AC007209","zero"
"Arabidopsis thaliana Tat4 virus","Arabidopsis thaliana Tat4 virus","E","AB005247","zero"
"Bombyx mori Mag virus","Bombyx mori Mag virus","E","X17219","zero"
"Caenorhabditis elegans Cer1 virus","Caenorhabditis elegans Cer1 virus","E","U15406","zero"
"Cladosporium fulvum T-1 virus","Cladosporium fulvum T-1 virus","E","Z11866","NC_043491"
"Dictyostelium discoideum Skipper virus","Dictyostelium discoideum Skipper virus","E","AF049230","zero"
"Drosophila buzzatii Osvaldo virus","Drosophila buzzatii Osvaldo virus","E","AJ133521","zero"
"Drosophila melanogaster 412 virus","Drosophila melanogaster 412 virus","E","X04132","zero"
"Drosophila melanogaster Blastopia virus","Drosophila melanogaster Blastopia virus","E","Z27119","zero"
"Drosophila melanogaster Mdg1 virus","Drosophila melanogaster Mdg1 virus","E","X59545","zero"
"Drosophila melanogaster Mdg3 virus","Drosophila melanogaster Mdg3 virus","E","X95908","zero"
"Drosophila melanogaster Micropia virus","Drosophila melanogaster Micropia virus","E","X14037","zero"
"Drosophila virilis Ulysses virus","Drosophila virilis Ulysses virus","E","X56645","zero"
"Fusarium oxysporum Skippy virus","Fusarium oxysporum Skippy virus","E","L34658","zero"
"Lilium henryi Del1 virus","Lilium henryi Del1 virus","E","X13886","zero"
"Saccharomyces cerevisiae Ty3 virus","Saccharomyces cerevisiae Ty3 virus","E","M34549","zero"
"Schizosaccharomyces pombe Tf1 virus","Schizosaccharomyces pombe Tf1 virus","E","M38526","zero"
"Schizosaccharomyces pombe Tf2 virus","Schizosaccharomyces pombe Tf2 virus","E","L10324","zero"
"Takifugu rubripes Sushi virus","Takifugu rubripes Sushi virus","E","AF030881","zero"
"Tribolium castaneum Woot virus","Tribolium castaneum Woot virus","E","U09586","zero"
"Tripneustis gratilla SURL virus","Tripneustis gratilla SURL virus","E","M75723","zero"
"Aedes aegypti Mosqcopia virus","Aedes aegypti Mosqcopia virus","E","AF134899","zero"
"Candida albicans Tca2 virus","Candida albicans Tca2 virus","E","AF050215","zero"
"Candida albicans Tca5 virus","Candida albicans Tca5 virus","E","AF065434","zero"
"Drosophila melanogaster 1731 virus","Drosophila melanogaster 1731 virus","E","X07656","zero"
"Drosophila melanogaster copia virus","Drosophila melanogaster copia virus","E","X04456","zero"
"Saccharomyces cerevisiae Ty5 virus","Saccharomyces cerevisiae Ty5 virus","E","U19263","zero"
"Volvox carteri Lueckenbuesser virus","Volvox carteri Lueckenbuesser virus","E","U90320","zero"
"Volvox carteri Osser virus","Volvox carteri Osser virus","E","X69552","zero"
"Arabidopsis thaliana Art1 virus","Arabidopsis thaliana Art1 virus","E","Y08010","zero"
"Arabidopsis thaliana AtRE1 virus","Arabidopsis thaliana AtRE1 virus","E","AB021265","zero"
"Arabidopsis thaliana evelknievel virus","Arabidopsis thaliana evelknievel virus","E","AF039373","zero"
"Arabidopsis thaliana Ta1 virus","Arabidopsis thaliana Ta1 virus","E","X13291","zero"
"Brassica oleracea Melmoth virus","Brassica oleracea Melmoth virus","E","Y12321","zero"
"Cajanus cajan Panzee virus","Cajanus cajan Panzee virus","E","AJ000893","zero"
"Glycine max Tgmr virus","Glycine max Tgmr virus","E","U96748","zero"
"Hordeum vulgare BARE-1 virus","Hordeum vulgare BARE-1 virus","E","Z17327","zero"
"Nicotiana tabacum Tnt1 virus","Nicotiana tabacum Tnt1 virus","E","X13777","zero"
"Nicotiana tabacum Tto1 virus","Nicotiana tabacum Tto1 virus","E","D83003","zero"
"Oryza australiensis RIRE1 virus","Oryza australiensis RIRE1 virus","E","D85597","zero"
"Oryza longistaminata Retrofit virus","Oryza longistaminata Retrofit virus","E","AH005614","zero"
"Physarum polycephalum Tp1 virus","Physarum polycephalum Tp1 virus","E","X53558","zero"
"Saccharomyces cerevisiae Ty1 virus","Saccharomyces cerevisiae Ty1 virus","E","M18706","zero"
"Saccharomyces cerevisiae Ty2 virus","Saccharomyces cerevisiae Ty2 virus","E","X03840","zero"
"Saccharomyces cerevisiae Ty4 virus","Saccharomyces cerevisiae Ty4 virus","E","M94164","zero"
"Solanum tuberosum Tst1 virus","Solanum tuberosum Tst1 virus","E","X52387","zero"
"Triticum aestivum WIS2 virus","Triticum aestivum WIS-2 virus","E","X63184","zero"
"Zea mays Hopscotch virus","Zea mays Hopscotch virus","E","U12626","zero"
"Zea mays Sto4 virus","Zea mays Sto-4 virus","E","AF082133","zero"
"Arabidopsis thaliana Endovir virus","Arabidopsis thaliana Endovir virus","E","AY016208","zero"
"Glycine max SIRE1 virus","Glycine max SIRE1 virus","E","AF053008","zero"
"Lycopersicon esculentum ToRTL1 virus","Lycopersicon esculentum ToRTL1 virus","E","U68072","zero"
"Zea mays Opie2 virus","Zea mays Opie-2 virus","E","U68408","zero"
"Zea mays Prem2 virus","Zea mays Prem-2 virus","E","U41000","zero"
"Phaseolus vulgaris Tpv2-6 virus","Phaseolus vulgaris Tpv2-6 virus","E","AJ005762","zero"
"Avian carcinoma Mill Hill virus 2","avian carcinoma Mill Hill virus 2","E","M14008","NC_001402"
"Avian leukosis virus","avian leukosis virus","E","M37980","NC_001408"
"Avian myeloblastosis virus","avian myeloblastosis virus","E","J02013","NC_043404"
"Avian myelocytomatosis virus 29","avian myelocytomatosis virus 29","E","AF033809","NC_001866"
"Avian sarcoma virus CT10","avian sarcoma virus CT10","E","Y00302","NC_038922"
"Fujinami sarcoma virus","Fujinami sarcoma virus","E","AF033810","NC_001403"
"Rous sarcoma virus","Rous sarcoma virus","E","AF033808","NC_001407"
"UR2 sarcoma virus","UR2 sarcoma virus","E","M10455","NC_001618"
"Y73 sarcoma virus","Y73 sarcoma virus","E","L21974","NC_008094"
"Jaagsiekte sheep retrovirus","Jaagsiekte sheep retrovirus","E","M80216","NC_001494"
"Langur virus","langur virus","E","AY282754","NC_043193"
"Mason-Pfizer monkey virus","Mason-Pfizer monkey virus","E","AF033815","NC_001550"
"Mouse mammary tumor virus","mouse mammary tumor virus","E","AF033807","NC_001503"
"Squirrel monkey retrovirus","squirrel monkey retrovirus","E","M23385","NC_001514"
"Bovine leukemia virus","bovine leukemia virus","E","AF033818","NC_001414"
"Primate T-lymphotropic virus 1","primate T-lymphotropic virus 1","E","AF074966","NC_000858"
"Primate T-lymphotropic virus 2","primate T-lymphotropic virus 2","E","M10060","NC_001488"
"Primate T-lymphotropic virus 3","primate T-lymphotropic virus 3","E","AF391797","NC_003323"
"Walleye dermal sarcoma virus","walleye dermal sarcoma virus","E","AF033822","NC_001867"
"Walleye epidermal hyperplasia virus 1","walleye epidermal hyperplasia virus 1","E","AF014792","NC_043194"
"Walleye epidermal hyperplasia virus 2","walleye epidermal hyperplasia virus 2","E","AF014793","NC_043195"
"Chick syncytial virus","chick syncytial virus","E","DQ237904","NC_043196"
"Feline leukemia virus","feline leukemia virus","E","AF052723","NC_001940"
"Finkel-Biskis-Jinkins murine sarcoma virus","Finkel-Biskis-Jinkins murine sarcoma virus","E","K02712","NC_038858"
"Gardner-Arnstein feline sarcoma virus","Gardner-Arnstein feline sarcoma virus","E","","zero"
"Gibbon ape leukemia virus","gibbon ape leukemia virus","E","M26927","NC_001885"
"Guinea pig type-C oncovirus","guinea pig type-C oncovirus","E","","zero"
"Hardy-Zuckerman feline sarcoma virus","Hardy-Zuckerman feline sarcoma virus","E","X03711","NC_038923"
"Harvey murine sarcoma virus","Harvey murine sarcoma virus","E","J02207","NC_038668"
"Kirsten murine sarcoma virus","Kirsten murine sarcoma virus","E","X00984","NC_043426"
"Koala retrovirus","koala retrovirus","E","AF151794","NC_039228"
"Moloney murine sarcoma virus","Moloney murine sarcoma virus","E","AF033813","NC_001502"
"Murine leukemia virus","murine leukemia virus","E","Z11128","NC_001362"
"Porcine type-C oncovirus","porcine type-C oncovirus","E","AF356697","NC_003059"
"Reticuloendotheliosis virus","reticuloendotheliosis virus","E","AY842951","NC_006934"
"Snyder-Theilen feline sarcoma virus","Snyder-Theilen feline sarcoma virus","E","M22820","NC_043382"
"Trager duck spleen necrosis virus","trager duck spleen necrosis virus","E","","zero"
"Viper retrovirus","viper retrovirus","E","","zero"
"Woolly monkey sarcoma virus","woolly monkey sarcoma virus","E","V01201","NC_009424"
"Bovine immunodeficiency virus","bovine immunodeficiency virus","E","M32690","NC_001413"
"Caprine arthritis encephalitis virus","caprine arthritis encephalitis virus","E","M33677","NC_001463"
"Equine infectious anemia virus","equine infectious anemia virus","E","AF033820","NC_001450"
"Feline immunodeficiency virus","feline immunodeficiency virus","E","M25381","NC_001482"
"Human immunodeficiency virus 1","human immunodeficiency virus 1","E","AF033819","NC_001802"
"Human immunodeficiency virus 2","human immunodeficiency virus 2","E","M30502","NC_001722"
"Jembrana disease virus","Jembrana disease virus","E","U21603","NC_001654"
"Puma lentivirus","puma lentivirus","E","U03982","NC_038669"
"Simian immunodeficiency virus","simian immunodeficiency virus","E","M58410","NC_001549"
"Visna-maedi virus","Visna/maedi virus","E","L06906","NC_001452"
"Bovine foamy virus","bovine foamy virus Bos taurus","E","U94514","NC_001831"
"Equine foamy virus","equine foamy virus Equus caballus","E","AF201902","NC_002201"
"Feline foamy virus","feline foamy virus Felis catus","E","Y08851","NC_039242"
"Brown greater galago prosimian foamy virus","simian foamy virus Otolemur crassicaudatus","E","KM233624","NC_039023"
"Bornean orangutan simian foamy virus","simian foamy virus Pongo pygmaeus pygmaeus","E","AJ544579","NC_039085"
"Central chimpanzee simian foamy virus","simian foamy virus Pan troglodytes troglodytes","E","JQ867463","NC_039024"
"Cynomolgus macaque simian foamy virus","simian foamy virus Macaca fascicularis","E","LC094267","zero"
"Eastern chimpanzee simian foamy virus","simian foamy virus Pan troglodytes schweinfurthii","E","KX087159","NC_039025"
"Grivet simian foamy virus","simian foamy virus Chlorocebus aethiops","E","M74895","NC_010820"
"Guenon simian foamy virus","simian foamy virus Cercopithecus nictitans","E","JQ867466","NC_043445"
"Japanese macaque simian foamy virus","simian foamy virus Macaca fuscata","E","AB923518","NC_039026"
"Rhesus macaque simian foamy virus","simian foamy virus Macaca mulatta","E","MF280817","NC_039238"
"Spider monkey simian foamy virus","simian foamy virus Ateles sp.","E","EU010385","NC_039027"
"Squirrel monkey simian foamy virus","simian foamy virus Saimiri sciureus","E","GU356394","NC_039028"
"Taiwanese macaque simian foamy virus","simian foamy virus Macaca cyclopis","E","X54482","NC_010819"
"Western chimpanzee simian foamy virus","simian foamy virus Pan troglodytes verus","E","U04327","NC_001364"
"Western lowland gorilla simian foamy virus","simian foamy virus Gorilla gorilla gorilla","E","HM245790","NC_039029"
"White-tufted-ear marmoset simian foamy virus","simian foamy virus Callithrix jacchus","E","GU356395","NC_039030"
"Yellow-breasted capuchin simian foamy virus","simian foamy virus Sapajus xanthosternos","E","KP143760","NC_039031"
"Aspergillus fumigatus polymycovirus 1","Aspergillus fumigatus tetramycovirus 1","E","dsRNA 1: HG975302; dsRNA 2: HG975303; dsRNA 3: HG975304; dsRNA 4: HG975305","zero"
"Aspergillus spelaeus polymycovirus 1","Aspergillus spelaeus tetramycovirus 1","E","dsRNA 1: MG887754; dsRNA 2: MG887755; dsRNA 3: MG887756; dsRNA 4: MG887757","zero"
"Beauveria bassiana polymycovirus 1","Beauveria bassiana polymycovirus 1","E","dsRNA 1: LN896307; dsRNA 2: LN896308; dsRNA 3: LN896309; dsRNA 4: LN896310","dsRNA 1: NC_034260; dsRNA 2: NC_034257; dsRNA 3: NC_034258; dsRNA 4: NC_034259"
"Botryoshaeria dothidea polymycovirus 1","Botryosphaeria dothidea RNA virus 1","E","dsRNA 1: KP245734; dsRNA 2: KP245735; dsRNA 3: KP245736; dsRNA 4: KP245737; dsRNA 5: KP245738","dsRNA 1: NC_033476; dsRNA 2: NC_033477; dsRNA 3: NC_033494; dsRNA 4: NC_033495; dsRNA 5: NC_033496"
"Cladosporium cladosporioides polymycovirus 1","Cladosporium cladosporioides virus 1","E","dsRNA 1: KJ787686; dsRNA 2: KJ787687; dsRNA 3: KJ787688; dsRNA 4: KJ787689; dsRNA 5: KJ787690","dsRNA 1: NC_024704; dsRNA 2: NC_024705; dsRNA 3: NC_024706; dsRNA 4: NC_024707; dsRNA 5: NC_024708"
"Colletotrichum camelliae polymycovirus 1","Colletotrichum camelliae filamentous virus 1","E","dsRNA 1: KX778766; dsRNA 2: KX778767; dsRNA 3: KX778768; dsRNA 4: KX778769; dsRNA 5: KX778770; dsRNA 6: KX778771; dsRNA 7: KX778772; dsRNA 8: KX778773","zero"
"Fusarium redolens polymycovirus 1","Fusarium redolens polymycovirus 1","E","dsRNA 1: MK609920; dsRNA 2: MK609921; dsRNA 3: MK609922; dsRNA 4: MK609923; dsRNA 5: MK609924; dsRNA 6: MK609925; dsRNA 7: MK609926; dsRNA 8: MK609927","zero"
"Magnaporthe oryzae polymycovirus 1","Magnaporthe oryzae polymycovirus 1","E","dsRNA 1: MH231406; dsRNA 2: MH231407; dsRNA 3: MH231408; dsRNA 4: MH231409","zero"
"Penicillium digitatum polymycovirus 1","Penicillium digitatum polymycovirus 1","E","dsRNA 1: MF317878; dsRNA 2: MF317879; dsRNA 3: MF317880; dsRNA 4: MF317881","dsRNA 1: NC_040422; dsRNA 2: NC_040425; dsRNA 3: NC_040423; dsRNA 4: NC_040424"
"Penicillum brevicompactum polymycovirus 1","Penicillium brevicompactum tetramycovirus 1","E","dsRNA 1: MG887750; dsRNA 2: MG887751; dsRNA 3: MG887752; dsRNA 4: MG887753","zero"
"Macrobrachium satellite virus 1","extra small virus","E","AY247793","NC_043197"
"Tobacco albetovirus 1","satellite tobacco necrosis virus 1","E","V01468","NC_001557"
"Tobacco albetovirus 2","satellite tobacco necrosis virus 2","E","M64479","NC_038701"
"Tobacco albetovirus 3","satellite tobacco necrosis virus C","E","AJ000898","NC_043430"
"Maize aumaivirus 1","satellite maize white line mosaic virus","E","M55012","NC_003631"
"Panicum papanivirus 1","Panicum papanivirus 1","E","M17182","NC_003847"
"Tobacco virtovirus 1","satellite tobacco mosaic virus","E","M25782","zero"
"Daazvirus cynopis","Chinese fire belly newt virus 1","E","MN031239","zero"
"Dagazvirus schedorhinotermitis","rhinotermitid virus 1","E","MK962759","zero"
"Daletvirus boae","Swiss snake colony virus 1","E","MH988742","NC_040729"
"Dalvirus anatis","dabbling duck virus 1","E","MH824555","NC_040845"
"Deevirus actinopterygii","ray-finned fish virus 1","E","MN031240","zero"
"Deltavirus cameroonense","hepatitis D virus 7","E","AM183333","zero"
"Deltavirus carense","hepatitis D virus 6","E","AX741164","zero"
"Deltavirus italiense","hepatitis D virus 1","E","AF104263","zero"
"Deltavirus japanense","hepatitis D virus 2","E","AF104264","zero"
